abase,lower; degrade; humiliate; make humble; make  lose self-respect
abash,embarrass
abate,subside or moderate
abbreviate,shorten
abdicate,renounce; give up
aberrant,abnormal or deviant
aberration,deviation from the normal; mental disorder
abet,assist usually in doing something wrong; encourage
abeyance,suspended action
abhor,detest; hate
abject,wretched; as low as possible; lacking pride; very humble; showing lack of self-respect; Ex. abject apology
abjure,renounce upon oath
ablution,washing
abnegation,renunciation; self-sacrifice; self-abnegation
abolish,cancel; put an end to
abominable,detestable; extremely unpleasant
abominate,loathe; hate
aboriginal,being the first of its kind in a region; primitive; native; indigenous; N. aborigine
abortive,unsuccessful; fruitless
abrasive,rubbing away; tending to grind down
